,name,link,city
348,Tulsa Rock and Mineral Society,http://www.ttownrockhound.org/,Tulsa
349,Tahlequah Rock and Mineral Society,http://tramsok.webs.com/,Tahlequah
350,Central Oregon Rock Collectors,https://corockcollectors.com/,Redmond
351,Clackamette Mineral and Gem Club,http://www.clackamettegem.org/,Oregon City
352,Columbia-Willamette Faceters' Guild,http://facetersguild.com/,Portland/West Linn
353,FarWest Lapidary & Gem Society,http://www.farwestlapidary.org/,North Bend
354,Hatrockhounds Gem and Mineral Society,http://jall23.wixsite.com/hatrockhounds,Hermiston
355,Millennium Diggers Club,http://www.millenniumdiggers.com/,Portland
356,Mt Hood Rock Club,https://mthoodrockclub.wordpress.com/,Gresham
357,North American Research Group,http://narg-online.com/,Hillsboro
358,"Oregon Agate & Mineral Society, Inc.",http://www.oregonagate.org/,Portland
359,Oregon Coast Agate Club,http://www.coastagates.org/,Newport
360,Prineville Rockhound Pow-Wow Assoc.,http://prineville.rocks/,Prineville
361,Rock and Arrowhead Club of Klamath Falls,http://www.klamathrockclub.org/,Klamath Falls
362,Springfield Thunderegg Rock Club,http://thundereggrockclub.blogspot.com/,Springfield
363,Tualatin Valley Gem Club,https://tvrgc.org/,Forest Grove
364,"Willamette Agate and Mineral Society, Inc.",http://www.wamsi.net/,Salem
365,"Central Pennsylvania Rock and Mineral Club, Inc.",http://www.rockandmineral.org/,Harrisburg
366,"Che-Hanna Rock and Mineral Club, Inc.",http://www.chehannarocks.com/,Sayre
367,Delaware Valley Paleontological Society,https://sites.google.com/site/dvpspaleo/,Philadelphia
368,Friends of Mineralogy - Pennsylvania Chapter,http://www.rasloto.com/FM/,St. Peters
369,Gem City Rock and Mineral Society,http://www.gemcityrockclub.org/,Erie
370,Leidy Microscopical Society,http://leidymicroscopical.com/,Fairless Hills
371,"Mason-Dixon Rock, Mineral, Gemological, & Lapidary Club",http://topgemz.com/,Hanover
372,Mineralogical Society of Northeastern Pennsylvania,http://msnepa.org/,Moosic
373,Monongahela Rockhounds,http://www.monongahelarockhounds.org/,Pittsburgh
374,Monroe County Earth Science Association,http://www.mdsysconsulting.com/MCESA/,Stroudsburg
375,Moraine Rockbusters,http://www.morainerockbusters.org/,Mars
376,Nittany Mineralogical Society,http://www.nittanymineral.org/,State College
377,Pennsylvania Earth Sciences Association,http://www.mineralfest.com/,Whitehall
378,Philadelphia Mineralogical Society,http://www.phillyrocks.org/,Philadelphia
379,Pittsburgh Geological Society,http://www.pittsburghgeologicalsociety.org/index.html,Pittsburgh
380,Tuscarora Lapidary Society,http://www.lapidary.org/,Brookhaven
381,"Rhode Island Mineral Hunters, Inc.",http://rimh.us/,Warwick
382,Aiken Gem and Mineral Society,http://www.aikengmfs.org/,Aiken
383,Columbia Gem & Mineral Society,http://www.cgams.org/,Columbia
384,Lowcountry Gem and Mineral Society,http://lowcountrygemandmineralsociety.org/,North Charleston
385,Pendleton District Gem and Mineral Society,http://www.woodsmere.com/pdgms/,Central
386,Western South Carolina Gem and Mineral Society,http://www.wescagem.org/,Greenville
387,Sioux Empire Gem and Mineral Society,http://www.segams.org/,Sioux Falls
388,Western Dakota Gem & Mineral Society,http://www.wdgms.org/,Rapid City
389,Knoxville Gem & Mineral Society,http://www.knoxrocks.org/,Knoxville
390,Memphis Archaeological & Geological Society,http://www.memphisgeology.org/,Memphis
391,Middle Tennessee Rockhounds,http://www.rockhound.org/,Nashville
392,Mid-Tennessee Gem and Mineral Society,http://www.mtgms.org/,"Murfreesboro, Donelson, Tullahoma"
393,Arlington Gem and Mineral Club,http://www.agemclub.org/,Arlington
394,Austin Gem and Mineral Society,http://www.austingemandmineral.org/index.html,Austin
395,Central Texas Gem & Mineral Society,http://rockclub.txol.net/,Abilene
396,Chihuahuan Desert Gem and Mineral Club,http://www.cdgmc.org/,Alpine
397,Clear Lake Gem and Mineral Society,http://www.clgms.org/,Houston
398,"Cowtown Gem, Mineral & Glass Society",http://cera-fw.org/gem-mineral-glass/,Fort Worth
399,Dallas Gem and Mineral Society,http://www.dallasgemandmineral.org/,Dallas
400,Dallas Paleontological Society,https://dps.wildapricot.org/,Dallas
401,East Texas Gem and Mineral Society,http://www.etgms.com/,Tyler
402,"El Paso Mineral and Gem Society, Inc.",http://www.epmgs.com/,El Paso
403,Fort Worth Gem and Mineral Club,http://www.fortworthgemandmineralclub.org/,Fort Worth
404,Fredericksburg Rockhounds,http://fredericksburgrockhounds.org/,Fredericksburg
405,Geological Society of San Antonio,http://www.geosa.org/,San Antonio
406,"Golden Spread Gem, Mineral and Treasure Society",http://www.amarillotreasure.com/,Amarillo
407,Gulf Coast Gem & Mineral Society,http://www.gcgms.org/,Corpus Christi
408,Houston Gem and Mineral Society,http://www.hgms.org/,Houston
409,Lubbock Gem and Mineral Society,http://www.lubbockgemandmineral.org/,Lubbock
410,"Midland Gem and Mineral Society, Inc.",https://www.facebook.com/midlandgemandmineral/,Midland
411,Oak Cliff Gem and Mineral Society,http://www.ocgemandmineral.com/,Dallas
412,Paleontological Society of Austin,http://www.austinpaleo.org/,Austin
413,Pine Country Gem & Mineral Society,http://www.pinecountry-gms.org/,Jasper
414,Piney Woods Gem & Mineral Society,http://www.pwgms.org/,Huntsville
415,Pleasant Oaks Gem & Mineral Club,http://www.pogmc.org/,Dallas
416,"Rollin' Rock Club, Inc.",https://sites.google.com/site/rollinrockclub/,Rollin' Rock Club Of Texas And Any Other State Or Country Of The World and Outer Space
417,South Texas Geological Society,http://www.stgs.org/,San Antonio
418,Southwest Gem and Mineral Society,http://www.swgemandmineral.org/,San Antonio
419,Texas Faceters Guild,http://texasfacetersguild.org/,Houston
420,"Tri-City Gem and Mineral Society, Inc.",https://www.facebook.com/midlandgemandmineral/,Temple
421,Waco Gem and Mineral Club,http://www.wacogemandmineral.org/,Waco
422,Williamson County Gem and Mineral Society,http://www.wcgms.org/,Georgetown
423,"Wise County Fossil, Rock and Mineral Society",http://wisecofossilrockandmineralsoc.weebly.com/,Decatur
424,Beehive Rock and Gem Club,http://www.beehiverockandgem.com/,Ogden
425,Cache Rock and Gem Club,http://cacherockgemclub.weebly.com/,Smithfield
426,Golden Spike Gem & Mineral Society,http://goldenspikegem.org/,Ogden
427,Mineral Collectors of Utah,http://m-c-u.org/,Salt Lake City
428,Moab Rock Club,https://www.facebook.com/Moab-Rock-Club-1508131859497762/,Moab
429,Rockhounders Outreach for Community Knowledge,http://www.rockhoundersock.com/,Sandy
430,Timpanogos Gem & Mineral Society,http://timprocks.weebly.com/,Provo
431,Tooele Gem & Mineral Society,https://www.facebook.com/Tooele-Gem-Mineral-Society-1742342656045404/,Tooele
432,Wasatch Gem Society,http://www.wasatchgemsociety.com/,Salt Lake City
433,Burlington Gem and Mineral Club,http://www.burlingtongemandmineralclub.org/,Burlington
434,Rutland Rock & Mineral Club,http://www.rutlandrockmineralclub.50webs.com/,Rutland
435,"Gem and Mineral Hunters, Inc.",http://www.gmhonline.org/,Manassas
436,Gem and Mineral Society of Lynchburg,http://www.lynchburgrockclub.org/,Lynchburg
437,Gem and Mineral Society of the Virginia Peninsula,http://www.gmsvp.org/,Hampton
438,"Northern Virginia Mineral Club, Inc.",http://www.novamineralclub.org/,Arlington
439,Richmond Gem & Mineral Society,http://www.rgms-va.info/,Richmond
440,Roanoke Valley Mineral & Gem Society,https://www.facebook.com/RVMGS/,Roanoke
441,Shenandoah Valley Gem & Mineral Society,http://www.shenandoahvalleyrockclub.org/,Waynesboro
442,Tidewater Gem & Mineral Society,http://tgms.weebly.com/,Virginia Beach
443,"Bellevue Rock Club, Inc.",http://www.bellevuerockclub.org/,Bellevue
444,Cascade Mineralogical Society Inc,http://www.cascademineralogicalsociety.org/,Kent
445,Clallam County Gem & Mineral Association,http://www.olympicrocks.com/,Port Angeles
446,Darrington Rock & Gem Club,https://www.facebook.com/DarringtonRGC/,Darrington
447,East KingCo Rock Club,http://www.eastkingco.org/,Kirkland
448,Everett Rock & Gem Club,http://www.everettrockclub.com/,Everett
449,Ginkgo Mineral Society,http://wenatcheerockclub.org/,Wenatchee
450,Kitsap Mineral and Gem Societ,http://www.kmgs.org/,Bremerton
451,"Lakeside Gem & Mineral Club, Inc.",http://www.lakesidegemandmineralclub.com/,Kennewick
452,Maplewood Rock & Gem Community Club,http://www.maplewoodrockclub.com/,Edmonds
453,Marcus Whitman Gem and Mineral Society,https://www.sites.google.com/site/mwgemandmineral/,Walla Walla
454,"Marysville Rock & Gem Club, Inc.",https://sites.google.com/site/marysvillerockngemclub/,Marysville
455,Mount Baker Rock And Gem Club,http://mtbakerrockclub.org/,Bellingham
456,North American Miners Association,http://www.namaminers.org/,Kent
457,North Puget Sound Facetors Guild,http://www.facetguild.com/,Mount Vernon
458,Northwest Paleontological Association,http://nwpaleo.org/,Puget Sound
459,Panorama Gem & Mineral Club,http://panoramagem.com/,Arden
460,Puyallup Valley Gem & Mineral Club,https://www.facebook.com/PuyallupValleyGemClub,Puyallup
461,Skagit Rock and Gem Club,https://www.skagitrockandgem.com/,Mt. Vernon
462,Spokane Rock Rollers Club,http://www.rockrollers.org/WP/,Spokane Valley
463,North Seattle Lapidary & Mineral Club,http://www.northseattlerockclub.org,Seattle
464,Washington Agate and Mineral Society,https://wamsolympia.wordpress.com,Olympia
465,West Seattle Rock Club,http://www.westseattlerockclub.org/,Seattle
466,Yakima Rock & Mineral Club,http://www.yakimarockclub.com/,Yakima
467,Kanawha Rock and Gem Club,http://www.kanawharockandgemclub.org/,Charleston
468,Prehistoric West Virginia,http://prehistoricplanet.com/wv/,Morgantown
469,West Virginia Fossil Club Inc,http://www.westvirginiafossilclub.com/,Clarksburg
470,"Badger Lapidary & Geological Society, Inc.",http://www.badgerrockclub.org/,Monroe
471,Coulee Rock Club of La Crosse,https://www.facebook.com/pages/The-Coulee-Rock-Club/182345351787782,La Crosse
472,Heart of Wisconsin Gem & Mineral Society,https://www.heartofwisconsinrocks.com/,Marshfield & Stevens Point
473,Kettle Moraine Geological Society,http://www.kmgsrocks.com/,Pewaukee
474,Lakeland Gem Club,http://www.lakelandgemclub.com/,Minocqua
475,Madison Gem and Mineral Club,http://www.madisonrockclub.org/,Madison
476,Northwest Wisconsin Gem & Mineral Society,http://www.cameronamericanlegion.org/rockclub.html,Cameron
477,Oshkosh Earth Science Club,https://sites.google.com/site/oshkoshearthscienceclub/home,Oshkosh
478,"Racine Geological Society, Inc",http://rgs-wi.tripod.com/,Racine
479,Weis'n'Miners Geology Club,http://www.weismuseum.org/geology-club.html,Menasha
480,Wisconsin Geological Society,http://www.wisgeologicalsociety.com/,West Allis
481,Cody 59ers Rock Club,http://www.cody59ers.com/,Cody
482,Riverton Mineral and Gem Society,http://www.rivertonmgs.com/,Riverton
483,Wyoming State Mineral and Gem Society,http://wymineralandgemsociety.org,Cody
