rank,title,author,score,votes,rating
30,"Crystal Singer (Crystal Singer, #1)",Anne McCaffrey,"score: 4,235",47 people voted,"4.09 avg rating — 17,772 ratings"
31,"Mirror Dance (Vorkosigan Saga, #8)",Lois McMaster Bujold,"score: 4,120",47 people voted,"4.33 avg rating — 17,324 ratings"
32,"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,"score: 4,108",47 people voted,"4.33 avg rating — 12,567 ratings"
33,"The Vor Game (Vorkosigan Saga, #6)",Lois McMaster Bujold,"score: 3,895",46 people voted,"4.28 avg rating — 18,975 ratings"
34,"Wild Seed (Patternmaster, #1)",Octavia E. Butler,"score: 3,842",43 people voted,"4.21 avg rating — 14,424 ratings"
35,"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle,"score: 3,700",42 people voted,"4.04 avg rating — 106,031 ratings"
36,"A Civil Campaign (Vorkosigan Saga, #12)",Lois McMaster Bujold,"score: 3,683",43 people voted,"4.43 avg rating — 14,488 ratings"
37,"Brothers in Arms (Vorkosigan Saga, #5)",Lois McMaster Bujold,"score: 3,653",43 people voted,"4.21 avg rating — 13,271 ratings"
38,"Cetaganda (Vorkosigan Saga, #9)",Lois McMaster Bujold,"score: 3,618",43 people voted,"4.17 avg rating — 14,824 ratings"
39,"The Snow Queen (The Snow Queen Cycle, #1)",Joan D. Vinge,"score: 3,535",43 people voted,"3.95 avg rating — 11,142 ratings"
40,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"score: 3,440",38 people voted,"4.15 avg rating — 582,657 ratings"
41,"Downbelow Station (The Company Wars, #1)",C.J. Cherryh,"score: 3,381",40 people voted,"3.91 avg rating — 12,106 ratings"
42,"The Ship Who Sang (Brainship, #1)",Anne McCaffrey,"score: 3,361",39 people voted,"4.01 avg rating — 21,157 ratings"
43,"Dragon Dawn (Dinosaurian Time Travel, #1)",Deborah O'Neill Cordes,"score: 3,340",34 people voted,3.81 avg rating — 194 ratings
44,"Dragonsong (Harper Hall, #1)",Anne McCaffrey,"score: 3,092",36 people voted,"4.25 avg rating — 43,805 ratings"
45,"Falling Free (Vorkosigan Saga, #4)",Lois McMaster Bujold,"score: 3,054",37 people voted,"3.83 avg rating — 16,009 ratings"
46,"Ethan of Athos (Vorkosigan Saga, #3)",Lois McMaster Bujold,"score: 2,904",36 people voted,"3.76 avg rating — 11,387 ratings"
47,"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,"score: 2,831",32 people voted,"4.11 avg rating — 95,079 ratings"
48,"Dawn (Xenogenesis, #1)",Octavia E. Butler,"score: 2,755",32 people voted,"4.12 avg rating — 22,763 ratings"
49,"Komarr (Vorkosigan Saga, #11)",Lois McMaster Bujold,"score: 2,579",31 people voted,"4.30 avg rating — 12,905 ratings"
50,"Foreigner (Foreigner, #1)",C.J. Cherryh,"score: 2,547",30 people voted,"3.94 avg rating — 7,155 ratings"
51,Where Late the Sweet Birds Sang,Kate Wilhelm,"score: 2,535",30 people voted,"3.87 avg rating — 8,278 ratings"
52,"Beggars in Spain (Sleepless, #1)",Nancy Kress,"score: 2,526",30 people voted,"3.94 avg rating — 6,810 ratings"
53,Her Smoke Rose Up Forever,James Tiptree Jr.,"score: 2,524",29 people voted,"4.21 avg rating — 3,311 ratings"
54,"The Silver Metal Lover (Silver Metal Lover, #1)",Tanith Lee,"score: 2,504",29 people voted,"4.03 avg rating — 3,384 ratings"
55,"Cordelia's Honor (Vorkosigan Omnibus, #1)",Lois McMaster Bujold,"score: 2,498",31 people voted,"4.37 avg rating — 11,640 ratings"
56,The Pride of Chanur (Chanur #1),C.J. Cherryh,"score: 2,469",31 people voted,"3.92 avg rating — 5,909 ratings"
57,Station Eleven,Emily St. John Mandel,"score: 2,450",28 people voted,"4.03 avg rating — 253,691 ratings"
58,"Cyteen (Cyteen, #1-3)",C.J. Cherryh,"score: 2,316",30 people voted,"really liked it 4.00 avg rating — 9,283 ratings"
59,Borders of Infinity (Vorkosigan Saga [Publication] #5.1-5.3),Lois McMaster Bujold,"score: 2,306",29 people voted,"4.24 avg rating — 8,709 ratings"
60,Goose Island,Lucinda   Davis,"score: 2,300",23 people voted,4.76 avg rating — 118 ratings
61,"Grass (Arbai, #1)",Sheri S. Tepper,"score: 2,203",27 people voted,"4.04 avg rating — 9,263 ratings"
62,"Chameleon (The Domino Project, #1)",K.T. Hanna,"score: 2,199",22 people voted,4.18 avg rating — 191 ratings
63,The Gate to Women's Country,Sheri S. Tepper,"score: 2,191",27 people voted,"4.05 avg rating — 11,540 ratings"
64,The Female Man,Joanna Russ,"score: 2,128",26 people voted,"3.54 avg rating — 5,349 ratings"
65,"In the Garden of Iden (The Company, #1)",Kage Baker,"score: 2,038",26 people voted,"3.77 avg rating — 4,996 ratings"
66,"Rogue Genesis (Shimmer in the Dark, #1)",Ceri London,"score: 2,013",21 people voted,4.44 avg rating — 133 ratings
67,"Parable of the Talents (Earthseed, #2)",Octavia E. Butler,"score: 2,006",25 people voted,"4.24 avg rating — 17,396 ratings"
68,The Faded Sun Trilogy (The Faded Sun #1-3),C.J. Cherryh,"score: 1,931",23 people voted,"4.12 avg rating — 4,627 ratings"
69,"Diplomatic Immunity (Vorkosigan Saga, #13)",Lois McMaster Bujold,"score: 1,914",26 people voted,"4.18 avg rating — 12,106 ratings"
70,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,"score: 1,849",22 people voted,"4.06 avg rating — 67,058 ratings"
71,The Speed of Dark,Elizabeth Moon,"score: 1,819",24 people voted,"really liked it 4.00 avg rating — 9,436 ratings"
72,Darkover Landfall,Marion Zimmer Bradley,"score: 1,748",21 people voted,"3.88 avg rating — 5,953 ratings"
73,"Machinations (Machinations, #1)",Hayley Stone,"score: 1,698",17 people voted,3.79 avg rating — 248 ratings
74,"Vertigo (Aurora Rhapsody, #2)",G.S. Jennsen,"score: 1,684",18 people voted,"4.22 avg rating — 1,042 ratings"
75,"CryoBurn (Vorkosigan Saga, #14)",Lois McMaster Bujold,"score: 1,683",24 people voted,"4.06 avg rating — 11,937 ratings"
76,"Seed to Harvest (Patternmaster, #1-4)",Octavia E. Butler,"score: 1,659",20 people voted,"4.33 avg rating — 3,944 ratings"
77,The Wind's Twelve Quarters,Ursula K. Le Guin,"score: 1,572",19 people voted,"4.04 avg rating — 4,041 ratings"
78,Remnant Population,Elizabeth Moon,"score: 1,547",20 people voted,"4.06 avg rating — 3,627 ratings"
79,The Word for World is Forest,Ursula K. Le Guin,"score: 1,510",20 people voted,"3.95 avg rating — 12,898 ratings"
80,"Grimspace (Sirantha Jax, #1)",Ann Aguirre,"score: 1,497",17 people voted,"3.73 avg rating — 12,658 ratings"
81,Ammonite,Nicola Griffith,"score: 1,477",20 people voted,"3.86 avg rating — 3,713 ratings"
82,"Across the Universe (Across the Universe, #1)",Beth Revis,"score: 1,435",16 people voted,"3.77 avg rating — 107,407 ratings"
83,"Inheritor (Foreigner, #3)",C.J. Cherryh,"score: 1,392",18 people voted,"4.19 avg rating — 3,610 ratings"
84,The V Girl,Mya Robarts,"score: 1,380",15 people voted,"4.02 avg rating — 7,833 ratings"
85,"Delirium (Delirium, #1)",Lauren Oliver,"score: 1,366",15 people voted,"3.98 avg rating — 392,234 ratings"
86,Dreamsnake,Vonda N. McIntyre,"score: 1,324",18 people voted,"3.86 avg rating — 8,402 ratings"
87,Women of Wonder: Science-Fiction Stories by Women about Women,Pamela Sargent,"score: 1,297",16 people voted,really liked it 4.00 avg rating — 272 ratings
88,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"score: 1,296",14 people voted,"4.15 avg rating — 35,012 ratings"
89,"Trading in Danger (Vatta's War, #1)",Elizabeth Moon,"score: 1,286",16 people voted,"3.98 avg rating — 11,161 ratings"
90,"Invader (Foreigner, #2)",C.J. Cherryh,"score: 1,276",17 people voted,"4.17 avg rating — 4,058 ratings"
90,Woman on the Edge of Time,Marge Piercy,"score: 1,276",15 people voted,"3.95 avg rating — 12,597 ratings"
92,China Mountain Zhang,Maureen F. McHugh,"score: 1,253",18 people voted,"3.94 avg rating — 3,453 ratings"
93,"Stardoc (Stardoc, #1)",S.L. Viehl,"score: 1,230",16 people voted,"3.80 avg rating — 3,632 ratings"
94,"MaddAddam (MaddAddam, #3)",Margaret Atwood,"score: 1,212",13 people voted,"really liked it 4.00 avg rating — 52,186 ratings"
95,"Valor's Choice (Confederation, #1)",Tanya Huff,"score: 1,165",16 people voted,"3.98 avg rating — 6,895 ratings"
96,Bellwether,Connie Willis,"score: 1,142",13 people voted,"3.93 avg rating — 10,067 ratings"
97,This Alien Shore,C.S. Friedman,"score: 1,130",15 people voted,"4.04 avg rating — 3,260 ratings"
98,"Primary Inversion (Saga of the Skolian Empire, #1)",Catherine Asaro,"score: 1,119",15 people voted,"3.74 avg rating — 3,686 ratings"
99,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,"score: 1,115",12 people voted,"4.29 avg rating — 265,215 ratings"
100,"Probability Moon (Probability, #1)",Nancy Kress,"score: 1,107",15 people voted,"3.61 avg rating — 1,291 ratings"
